Time,Channel A,Channel B
(ms),(mV),(mV)

-2.50009587,1.58403000,1.57787900
-2.50003187,1.58403000,1.57787900
-2.49996787,1.58403000,2.36528000
-2.49990387,2.37758400,2.36528000
-2.49983987,2.37758400,3.15575800
-2.49977587,2.37758400,3.15575800
-2.49971187,2.37758400,2.36528000
-2.49964787,3.16806100,3.15575800
-2.49958387,3.96161400,3.15575800
-2.49951987,3.16806100,3.15575800
-2.49945587,3.96161400,3.15575800
-2.49939187,3.16806100,2.36528000
-2.49932787,2.37758400,2.36528000
-2.49926387,2.37758400,2.36528000
-2.49919987,2.37758400,2.36528000
-2.49913587,1.58403000,2.36528000
-2.49907187,1.58403000,1.57787900
-2.49900787,1.58403000,0.78740150
-2.49894387,0.79047730,1.57787900
-2.49887987,0.79047730,0.78740150
-2.49881587,0.00000000,0.00000000
-2.49875187,0.00000000,0.00000000
-2.49868787,0.00000000,0.00000000
-2.49862387,-0.79047730,-0.78740150
-2.49855987,-1.58403000,-0.78740150
-2.49849587,-1.58403000,-1.57787900
-2.49843187,-1.58403000,-2.36528000
-2.49836787,-2.37758400,-2.36528000
-2.49830387,-2.37758400,-3.15575800
-2.49823987,-2.37758400,-2.36528000
-2.49817587,-2.37758400,-2.36528000
-2.49811187,-2.37758400,-2.36528000
-2.49804787,-2.37758400,-2.36528000
-2.49798387,-2.37758400,-2.36528000
-2.49791987,-2.37758400,-2.36528000
-2.49785587,-3.16806100,-1.57787900
-2.49779187,-2.37758400,-2.36528000
-2.49772787,-2.37758400,-2.36528000
-2.49766387,-2.37758400,-2.36528000
-2.49759987,-1.58403000,-1.57787900
-2.49753587,-1.58403000,-1.57787900
-2.49747187,-1.58403000,-0.78740150
-2.49740787,-0.79047730,-1.57787900
-2.49734387,0.00000000,-0.78740150
-2.49727987,0.00000000,0.00000000
-2.49721587,0.00000000,0.00000000
-2.49715187,0.00000000,0.00000000
-2.49708787,0.00000000,0.00000000
-2.49702387,0.00000000,0.00000000
-2.49695987,0.00000000,0.00000000
-2.49689587,0.00000000,0.78740150
-2.49683187,0.00000000,0.00000000
-2.49676787,0.79047730,0.78740150
-2.49670387,1.58403000,1.57787900
-2.49663987,1.58403000,0.78740150
-2.49657587,2.37758400,2.36528000
-2.49651187,2.37758400,2.36528000
-2.49644787,3.16806100,3.15575800
-2.49638387,3.96161400,3.94315900
-2.49631987,3.96161400,4.73363700
-2.49625587,4.75516700,4.73363700
-2.49619187,4.75516700,4.73363700
-2.49612787,4.75516700,4.73363700
-2.49606387,3.96161400,4.73363700
-2.49599987,3.96161400,3.94315900
-2.49593587,3.96161400,3.15575800
-2.49587187,2.37758400,2.36528000
-2.49580787,1.58403000,1.57787900
-2.49574387,0.79047730,0.78740150
-2.49567987,-0.79047730,-0.78740150
-2.49561587,-1.58403000,-1.57787900
-2.49555187,-3.16806100,-3.15575800
-2.49548787,-3.96161400,-3.94315900
-2.49542387,-4.75516700,-5.52103800
-2.49535987,-5.54872000,-6.31151500
-2.49529587,-6.33919800,-7.10199300
-2.49523187,-7.13275100,-6.31151500
-2.49516787,-7.13275100,-7.10199300
-2.49510387,-7.13275100,-6.31151500
-2.49503987,-6.33919800,-6.31151500
-2.49497587,-4.75516700,-5.52103800
-2.49491187,-3.96161400,-3.94315900
-2.49484787,-3.16806100,-2.36528000
-2.49478387,-1.58403000,-1.57787900
-2.49471987,-0.79047730,-0.78740150
-2.49465587,0.79047730,1.57787900
-2.49459187,2.37758400,2.36528000
-2.49452787,3.96161400,3.94315900
-2.49446387,4.75516700,4.73363700
-2.49439987,4.75516700,5.52103800
-2.49433587,5.54872000,5.52103800
-2.49427187,5.54872000,5.52103800
-2.49420787,4.75516700,4.73363700
-2.49414387,4.75516700,3.94315900
-2.49407987,3.96161400,3.15575800
-2.49401587,2.37758400,2.36528000
-2.49395187,1.58403000,1.57787900
-2.49388787,0.00000000,0.00000000
-2.49382387,-1.58403000,-0.78740150
-2.49375987,-2.37758400,-2.36528000
-2.49369587,-3.16806100,-3.15575800
-2.49363187,-3.96161400,-3.15575800
-2.49356787,-3.96161400,-3.94315900
-2.49350387,-3.96161400,-4.73363700
-2.49343987,-4.75516700,-3.94315900
-2.49337587,-3.16806100,-3.15575800
-2.49331187,-3.16806100,-2.36528000
-2.49324787,-1.58403000,-1.57787900
-2.49318387,0.00000000,0.00000000
-2.49311987,0.79047730,0.78740150
-2.49305587,2.37758400,2.36528000
-2.49299187,3.16806100,3.15575800
-2.49292787,4.75516700,4.73363700
-2.49286387,4.75516700,5.52103800
-2.49279987,5.54872000,6.31151500
-2.49273587,6.33919800,7.10199300
-2.49267187,5.54872000,6.31151500
-2.49260787,5.54872000,6.31151500
-2.49254387,4.75516700,4.73363700
-2.49247987,3.96161400,3.94315900
-2.49241587,2.37758400,1.57787900
-2.49235187,0.79047730,0.00000000
-2.49228787,-0.79047730,-1.57787900
-2.49222387,-3.16806100,-3.15575800
-2.49215987,-4.75516700,-4.73363700
-2.49209587,-6.33919800,-6.31151500
-2.49203187,-7.13275100,-7.88939400
-2.49196787,-7.92630300,-7.88939400
-2.49190387,-8.71678100,-7.88939400
-2.49183987,-8.71678100,-7.88939400
-2.49177587,-8.71678100,-7.88939400
-2.49171187,-7.13275100,-7.10199300
-2.49164787,-6.33919800,-6.31151500
-2.49158387,-4.75516700,-4.73363700
-2.49151987,-3.16806100,-2.36528000
-2.49145587,-0.79047730,-0.78740150
-2.49139187,0.79047730,1.57787900
-2.49132787,3.16806100,2.36528000
-2.49126387,4.75516700,4.73363700
-2.49119987,6.33919800,6.31151500
-2.49113587,7.13275100,7.10199300
-2.49107187,7.92630300,7.88939400
-2.49100787,8.71678100,8.67987200
-2.49094387,7.92630300,8.67987200
-2.49087987,7.92630300,7.88939400
-2.49081587,6.33919800,6.31151500
-2.49075187,5.54872000,5.52103800
-2.49068787,3.96161400,3.15575800
-2.49062387,2.37758400,1.57787900
-2.49055987,0.00000000,0.00000000
-2.49049587,-1.58403000,-2.36528000
-2.49043187,-3.16806100,-3.94315900
-2.49036787,-4.75516700,-4.73363700
-2.49030387,-5.54872000,-5.52103800
-2.49023987,-6.33919800,-7.10199300
